store_name,store_type_code,main_code,store_type,local_name,address,phone_number,long,lati,searchcount
돌하루방,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로100번길 25 (의정부동),031-844-5940,37.74152708,127.0531968,114096
동림장여인숙,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로143번길 21-12 (의정부동),031-856-1745,37.73873872,127.0504298,136589
두리방모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1332번길 31 (의정부동),031-846-1352,37.74261948,127.0523432,92997
두리장,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로100번길 28 (의정부동),0,37.74132942,127.0532674,105330
듀오모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로568번길 56 (의정부동),031-841-2984,37.74296879,127.0498426,109385
딸기여인숙,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1346번길,031-844-4888,37.73936016,127.0730684,82046
라구나호텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 범골로157번길 7-8 (의정부동),031-8146-7000,37.73651998,127.0423461,130674
라마다모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1298번길 19-20 (의정부동),031-821-6333,37.74252387,127.0494171,119113
라벤다모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 둔야로33번길 31 (의정부동),031-878-6444,37.73877244,127.0379036,80259
라벤더,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로504번길,031-877-8991,37.73936016,127.0730684,106216
라붐모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1336번길 39-9 (의정부동),031-9622-1242,37.74263541,127.0532054,107063
라온,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 22 (의정부동),031-872-3333,37.73166906,127.0474909,121572
라톤모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로232번길 15 (의정부동),031-871-3061,37.73698717,127.044405,132607
람세스,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 5-29 (의정부동),031-829-5790,37.7366051,127.0450679,126006
러브이즈,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 5-23 (의정부동),0,37.73660134,127.0446028,72121
렉스턴호텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로232번길 6 (의정부동),031-876-2452,37.73656052,127.0440133,112312
루벤스모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로240번길 16 (의정부동),031-876-9832,37.73752681,127.0442846,77415
루비파크,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1298번길 19-12 (의정부동),031-842-9760,37.74248372,127.048907,111615
리베모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로494번길 8 (의정부동),031-874-4466,37.73600111,127.0483772,95439
리오젠,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1346번길 54 (의정부동),031-843-6670,37.74243893,127.0534234,72106
리젠트모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로122번길 9-19 (의정부동),031-826-4853,37.73780946,127.0491596,80381
리치파크모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 흥선로177번길 15 (의정부동),0,37.74135462,127.0463231,121303
메인,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 범골로145번길 6 (의정부동),031-877-3925,37.73626146,127.0415779,141150
명신장,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로45번길 4 (의정부동),031-877-4784,37.73697664,127.0509174,114004
명품원룸텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1332번길 71 (의정부동),031-842-2657,37.74085384,127.0523884,96469
모아모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로 545-1 (의정부동),031-846-5843,37.7407108,127.0469327,98924
모텔 시애틀,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로483번길 40 (의정부동),031-877-4555,37.7338917,127.0471335,93402
모텔테마,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 5-17 (의정부동),031-826-5278,37.73658111,127.0443308,93532
몽모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로257번길 17 (의정부동),031-872-2999,37.7389237,127.0420996,92159
물레방아여인숙,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1336번길 39-9 (의정부동),031-846-4798,37.74263541,127.0532054,80200
미라지모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로108번길 24 (의정부동),031-841-3307,37.74197573,127.0529641,86622
미래장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1336번길 9-18 (의정부동),031-846-4568,37.74366984,127.052988,59587
베네,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 흥선로168번길 26 (의정부동),031-829-7381,37.7397679,127.0450954,103656
베네치아,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로562번길 9-3 (의정부동),0,37.74241685,127.0473194,97169
부티끄호텔XYM,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로568번길 56 (의정부동),031-841-5684,37.74296879,127.0498426,133948
부흥장,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로561번길,0,37.73936016,127.0730684,80223
블루모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 40 (의정부동),031-877-2641,37.73251483,127.047344,102690
블루파크,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 40 (의정부동),031-4148-9100,37.73251483,127.047344,112466
산호장,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1346번길,031-1544-1621,37.73936016,127.0730684,118253
생활형숙박,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로542번길 7-9 (의정부동),031-821-4856,37.7407801,127.0477034,66298
서울장여인숙,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로542번길 7-12 (의정부동),031-841-6894,37.74091697,127.0479172,116860
설악장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1346번길 50 (의정부동),031-843-2980,37.74264669,127.0534889,112883
세림장여인숙,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로118번길 27 (의정부동),031-843-5369,37.74310362,127.0531654,128996
센트럴모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로231번길 17 (의정부동),031-829-1790,37.7366633,127.0422421,122732
송산파크,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 용민로 63 (용현동),031-851-8445,37.7370686,127.0853955,100053
수림모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1332번길 17 (의정부동),031-848-8549,37.74322319,127.0523469,88353
쉘모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1346번길,031-840-4368,37.73936016,127.0730684,100773
쉴모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로122번길 9-18 (의정부동),031-877-6262,37.73753973,127.0492311,119881
쉴모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1298번길 19-14 (의정부동),031-843-7600,37.74251212,127.0490768,121759
시네마모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 24 (의정부동),031-855-4477,37.73178636,127.0475121,89832
시마모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로504번길 17-13 (의정부동),031-878-8778,37.73753561,127.0487206,103029
시마여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로504번길 17-13 (의정부동),0,37.73753561,127.0487206,119884
시실리모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1336번길 57 (의정부동),031-841-4887,37.74164165,127.0528776,136937
신촌장 여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 의정로 195 (가능동),031-873-3610,37.75023728,127.0339653,117887
싱글하우스,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로494번길 24 (의정부동),031-111-1111,37.73593625,127.0492743,99986
씨마호텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로239번길 21 (의정부동),031-528-5456,37.73745363,127.0419256,104677
아담장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1346번길 86 (의정부동),031-846-5717,37.74099599,127.0532602,95948
아로마여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1346번길 74 (의정부동),031-848-4500,37.74152817,127.0533329,84571
아방궁여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1336번길,031-848-1917,37.73936016,127.0730684,116182
안모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로143번길 101 (의정부동),031-848-5333,37.74229221,127.050861,67773
애림모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로428번길 7 (의정부동),031-876-6454,37.73035329,127.0485741,76254
애림장,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로428번길 7 (의정부동),031-876-6418,37.73035329,127.0485741,108359
에스모텔(S모텔),1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 19 (의정부동),031-826-7931,37.73617772,127.0445855,88410
에쿠스모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 35 (의정부동),031-877-7785,37.73226874,127.0469954,91474
엘 스테이 호텔(L-stay Hotel),1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 15 (의정부동),031-873-5398,37.73616751,127.0444382,118862
엘리,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 27 (의정부동),031-877-8087,37.73619941,127.0450391,105087
엘린,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로 449-1 (의정부동),031-877-6350,37.73214682,127.0475188,106467
여우모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 흥선로 177 (의정부동),031-846-7289,37.74076984,127.0464327,68434
예원모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길,031-4255-3330,37.73936016,127.0730684,133751
오렌지모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로122번길 59-5 (의정부동),031-4947-5048,37.73581575,127.048856,91378
올인모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로562번길 47-6 (의정부동),031-846-2135,37.74250113,127.0499506,119263
우정장,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로108번길 28 (의정부동),031-848-3031,37.74203215,127.0532584,92558
워커힐모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로108번길 15 (의정부동),0,37.74226985,127.0525633,80011
월드모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로90번길 13 (의정부동),031-843-4478,37.74061114,127.0524596,63274
유니온,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 9-1 (의정부동),031-877-3954,37.73061332,127.0473002,87880
유성장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로568번길 7 (의정부동),031-844-4356,37.74289398,127.0472679,85147
유호장,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1332번길 45 (의정부동),031-856-5911,37.74198855,127.0523172,58490
의정부관광호텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로 1342 (의정부동),0,37.74444673,127.053239,64603
의정부라트리호텔(Uijeongbu La Tree Hotel,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 청사로6번길 19-13 (신곡동),031-843-5100,37.74979449,127.0719852,142239
이조이모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 18 (의정부동),031-875-2334,37.73151617,127.0475269,127511
잉카모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로122번길 60 (의정부동),031-829-9595,37.73568606,127.0484152,37280
자이모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1332번길 73 (의정부동),031-841-9505,37.74073681,127.0524012,77891
장미장,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1346번길 30 (의정부동),031-848-2544,37.74355681,127.0535,113703
장수파크,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로122번길 22 (의정부동),031-877-6484,37.73742311,127.0481775,99200
재단법인 의정부시청소년육성재단,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 의정로 27 (의정부동),031-828-9522,37.73518062,127.0338884,123221
정원여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로90번길 25-5 (의정부동),0,37.74083264,127.0531148,82028
제이(J)호텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 5-29 (의정부동),031-876-6609,37.7366051,127.0450679,126864
제이비스호텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 청사로6번길 19-7 (신곡동),031-836-4500,37.74960627,127.0721124,108342
제이호텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 5-29 (의정부동),031-3695-4397,37.7366051,127.0450679,100234
제일여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1336번길 18 (의정부동),0,37.74351295,127.0525247,86930
첼로모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1336번길 37 (의정부동),031-843-1536,37.74267718,127.0527964,78462
초콜릿모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로232번길 5-24 (의정부동),031-876-5557,37.73714263,127.0446866,119311
카리브모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로143번길 65 (의정부동),031-821-6861,37.74066999,127.0508136,87651
칼튼,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로190번길 28 (호원동),0,37.70819875,127.0487776,77950
케일라,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로 231 (의정부동),0,37.73693101,127.0430329,83705
큐모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 11 (의정부동),031-871-4969,37.73118063,127.0472589,89828
큐브,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 5-25 (의정부동),031-873-2566,37.73660299,127.044807,90286
탑모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로439번길 25 (의정부동),031-877-2892,37.73184686,127.0471937,117590
테마장여인숙,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로143번길 106-1 (의정부동),031-845-8140,37.74248369,127.0511422,118462
테마파크,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로551번길,031-842-9455,37.73936016,127.0730684,78094
투윈스,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로239번길 11 (의정부동),031-871-2143,37.73745805,127.0424702,124285
투투파크,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 경의로118번길 58 (의정부동),031-875-9546,37.73048843,127.0485724,128388
파라다이스,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로567번길 5 (의정부동),031-843-8644,37.7425443,127.0463646,100477
포유,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1298번길 39-6 (의정부동),031-856-9956,37.74159052,127.0487596,79650
포유나인,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 23 (의정부동),031-829-4322,37.73618838,127.0447896,134564
풀하우스,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 5-26 (의정부동),031-875-4134,37.73633262,127.0447991,66690
퓨전여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로168번길 70 (호원동),031-879-9641,37.70803466,127.0485416,93538
프라자모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1346번길 38 (의정부동),031-844-1212,37.74312427,127.0534941,79834
프라하,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로122번길 61 (의정부동),031-874-1616,37.73561599,127.0486657,88022
프로방스,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로232번길 21 (의정부동),031-871-2748,37.73702532,127.0446654,87125
플라워모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로551번길,031-847-2345,37.73936016,127.0730684,63146
피아노모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1336번길 40 (의정부동),0,37.7424949,127.0525377,76570
필모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 5-28 (의정부동),0,37.7363339,127.0449579,90744
하남여인숙,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로122번길 9-11 (의정부동),031-877-3579,37.73802348,127.0488846,114135
하트모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1336번길 39-10 (의정부동),0,37.74241946,127.0532421,83965
한도장여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로108번길 27 (의정부동),031-841-2216,37.74224783,127.0531876,123527
한일여관,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 시민로146번길 4-1 (의정부동),031-877-3803,37.73747197,127.0508884,70768
호텔 야자 의정부역점,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 5-22 (의정부동),031-3919-8833,37.73632205,127.0446064,125111
호텔달동네,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1346번길 18 (의정부동),031-844-4758,37.74399872,127.0535511,117978
호텔라인,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1332번길 39 (의정부동),031-844-5100,37.74223199,127.0523368,105532
호텔버스,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로232번길 32 (의정부동),031-855-8510,37.73676892,127.04527,79927
호텔스타루비,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로118번길 16 (의정부동),031-841-9028,37.74285527,127.0525331,114188
호텔야자의정부역점,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길,031-917-6022,37.73936016,127.0730684,97997
호텔유,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로232번길 6 (의정부동),031-837-1700,37.73656052,127.0440133,113334
호텔헤드원,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로 554 (의정부동),031-847-5200,37.74142647,127.0474115,78037
홍콩모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 태평로118번길,031-840-1810,37.73936016,127.0730684,116406
황해장,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 평화로568번길 35 (의정부동),031-842-4788,37.74318525,127.0487505,114857
휠모텔,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 호국로1336번길 27 (의정부동),0,37.74308259,127.0527912,94808
휴,1020,숙박업,여관/기타숙박업,의정부시,경기도 의정부시 신흥로222번길 5-20 (의정부동),031-826-2476,37.73632959,127.0444247,86659
(주)성일렌트카 의정부영업소,1130,여행,렌터카,의정부시,경기도 의정부시 동일로 657 (의정부동),031-844-1111,37.74648819,127.0538826,92956
(주)이글로렌트카 의정부점,1130,여행,렌터카,의정부시,경기도 의정부시 외미로 64 (호원동 회룡역풍림아이원),031-879-9296,37.72366364,127.0425001,89571
강경렌트카주식회사의정부,1130,여행,렌터카,의정부시,경기도 의정부시 평화로 525 (의정부동),031-876-6000,37.73799021,127.0458784,86128
렌트카 고고,1130,여행,렌터카,의정부시,경기도 의정부시 신흥로240번길 26 (의정부동),031-871-8207,37.73747716,127.0448298,70440
주식회사대정,1130,여행,렌터카,의정부시,경기도 의정부시 금오로 9 (금오동),0,37.75331246,127.066778,118601
주식회사베스트렌트카,1130,여행,렌터카,의정부시,경기도 의정부시 호암로 81 (호원동),031-1544-8207,37.70795464,127.0475559,58317
골든크로스 스포츠,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 송양로 94 (민락동 민락엘레트19단지),031-7592-7777,37.75053552,127.1144957,90965
골프 앤 커버,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 신촌로5번길 10-55 (가능동),031-513-8927,37.75074178,127.0361602,90614
골프사랑,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 동일로 120 (장암동),031-872-7288,37.69981399,127.0548608,103302
골프투어링,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 평화로 605 (의정부동),031-821-7421,37.74602547,127.0456506,107959
다원 골프아카데미,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 동일로 546 (신곡동),031-841-5424,37.73694542,127.0582698,114583
동송골프샵,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 경의로 66 (의정부동),031-456-2159,37.73276587,127.0427347,68018
원골프,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 평화로440번길 5 (의정부동),031-837-6675,37.73128042,127.0484602,135964
유정골프중고전문점,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 평화로 125 (호원동 해노을팰리스),031-853-1300,37.70317804,127.0474128,79858
제이엠골프피팅,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 서부로 693 (가능동),031-5352-6864,37.75492546,127.0376266,75473
조윤상사,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 경의로85번길 16-20 나동  (의정부동 재훈빌라19차),0,37.73370253,127.0460241,113888
주식회사 주프,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 천보로 59 (민락동),0,37.74454455,127.0944151,71831
주식회사 케이제이,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 평화로 598 (의정부동),031-844-7166,37.74537257,127.046249,115241
초이스타,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 호국로1331번길,031-848-6875,37.73936016,127.0730684,98479
탑골프,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 동일로 85 (장암동),031-877-1819,37.69684365,127.054116,109913
피톤골프,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 동일로 812 (녹양동),031-858-9053,37.75786804,127.0460434,88675
한양,2001,레져용품,골프용품 전문점,의정부시,경기도 의정부시 장곡로 626 (신곡동),031-853-6567,37.75045467,127.0722947,99108
